"CostCenterCode","LocationCode","CDSCode","School","SchoolYear","NumberInCohort","NumberOfDropouts","CohortDropoutRate"
"NA","NA","19647330000000","LAUSD","2017-18",35386.000000000,4586.000000000,0.130000000
"1885301","8853","19647330106997","Orthopaedic Hospital Senior High Medical Magnet","2017-18",170.000000000,4.000000000,0.024000000
"1871601","8716","19647330109447","Santee Education Complex","2017-18",339.000000000,44.000000000,0.130000000
"1877701","8777","19647330110668","Frida Kahlo Continuation High","2017-18",61.000000000,20.000000000,0.328000000
"1851701","8517","19647330112029","Miguel Contreras Learning Complex - Business and Tourism","2017-18",94.000000000,20.000000000,0.213000000
"1877401","8774","19647330112870","Miguel Contreras Learning Complex - LA Sch of Global Studies","2017-18",88.000000000,20.000000000,0.227000000
"1874801","8748","19647330114850","West Adams Preparatory Senior High","2017-18",356.000000000,60.000000000,0.169000000
"1854401","8544","19647330117051","Edward R Roybal Learning Center","2017-18",265.000000000,39.000000000,0.147000000
"1820701","8207","19647330117721","Miguel Contreras Learning Complex - Acdemic Ldrshp Community","2017-18",105.000000000,17.000000000,0.162000000
"1850101","8501","19647330117747","RFK Comm Schls - Los Angeles High School of the Arts","2017-18",105.000000000,21.000000000,0.200000000
"1821001","8210","19647330117754","Belmont Senior High - Los Angeles Teacher Preparatory Acad","2017-18",11.000000000,11.000000000,1.000000000
"1820601","8206","19647330117762","RFK Comm Schls - School for Visual Arts and Humanities","2017-18",97.000000000,17.000000000,0.175000000
"1778301","7783","19647330119685","RFK Comm Schls - New Open World Academy K-12","2017-18",80.000000000,12.000000000,0.150000000
"1778001","7780","19647330119693","RFK Comm Schls - UCLA Community School K-12","2017-18",102.000000000,14.000000000,0.137000000
"1851601","8516","19647330119727","Ramon C Cortines School of Visual & Performing Arts","2017-18",343.000000000,9.000000000,0.026000000
"1777101","7771","19647330121095","RFK Comm Schls - Ambassador School - Global Leadership","2017-18",108.000000000,13.000000000,0.120000000
"1857701","8577","19647330124412","Sonia Sotomayor Learning Academies Los Angeles River School","2017-18",63.000000000,7.000000000,0.111000000
"1770701","7707","19647330124420","Sonia Sotomayor Learning Academies History and Dramatic Arts","2017-18",69.000000000,13.000000000,0.188000000
"1772201","7722","19647330124479","Dr Maya Angelou Community Senior High","2017-18",224.000000000,57.000000000,0.254000000
"1852701","8527","19647330127795","Miguel Contreras Learning Complex - School of Social Justice","2017-18",125.000000000,25.000000000,0.200000000
"1871001","8710","19647330127803","Early College Academy - LA Trade Tech College","2017-18",88.000000000,18.000000000,0.205000000
"1761401","7614","19647330129585","Nava College Preparatory Academy","2017-18",220.000000000,15.000000000,0.068000000
"1854501","8545","19647331930296","Harris Newmark Continuation High","2017-18",105.000000000,24.000000000,0.229000000
"1858001","8580","19647331930387","Central Continuation High","2017-18",311.000000000,92.000000000,0.296000000
"1191801","1918","19647331930619","Harold McAlister High School CYESIS","2017-18",60.000000000,14.000000000,0.233000000
"1854301","8543","19647331930924","Belmont Senior High","2017-18",241.000000000,67.000000000,0.278000000
"1864501","8645","19647331931393","Highland Park Continuation High","2017-18",58.000000000,31.000000000,0.534000000
"1861401","8614","19647331932540","Eagle Rock High School","2017-18",452.000000000,17.000000000,0.038000000
"1873801","8738","19647331932888","Downtown Business Magnet","2017-18",257.000000000,7.000000000,0.027000000
"1864301","8643","19647331933043","Benjamin Franklin High School","2017-18",330.000000000,35.000000000,0.106000000
"1871401","8714","19647331934371","Thomas Jefferson Senior High","2017-18",172.000000000,32.000000000,0.186000000
"1874301","8743","19647331935519","Manual Arts Senior High","2017-18",373.000000000,71.000000000,0.190000000
"1875001","8750","19647331935568","John Marshall Senior High","2017-18",576.000000000,36.000000000,0.063000000
"1191401","1914","19647331939784","Joseph Pomeroy Widney Career Preparatory & Transition Center","2017-18",40.000000000,0.000000000,0.000000000
"1899101","8991","19647331996073","Tri-C Community Day School","2017-18",130.000000000,42.000000000,0.323000000
"1713701","7137","19647336019475","32nd Street USC Performing Arts Magnet","2017-18",68.000000000,0.000000000,0.000000000
"1813201","8132","19647336061451","Foshay Learning Center","2017-18",155.000000000,2.000000000,0.013000000
"1870101","8701","19647330107011","International Studies Learning Center","2017-18",79.000000000,4.000000000,0.051000000
"1888101","8881","19647330109454","South East Senior High","2017-18",565.000000000,37.000000000,0.065000000
"1888201","8882","19647330109462","Maywood Academy Senior High","2017-18",300.000000000,19.000000000,0.063000000
"1861101","8611","19647330119966","Felicitas And Gonzalo Mendez Senior High","2017-18",271.000000000,13.000000000,0.048000000
"1775101","7751","19647330122333","Roosevelt Senior High Math/Science Magnet","2017-18",104.000000000,5.000000000,0.048000000
"1860601","8606","19647330122341","Esteban Torres HS - East Los Angeles Performing Arts Magnet","2017-18",93.000000000,6.000000000,0.065000000
"1777501","7775","19647330122358","Esteban Torres HS - Humanitas Academy of Art & Technology","2017-18",121.000000000,12.000000000,0.099000000
"1777701","7777","19647330122366","Esteban Torres HS - Social Justice Leadership Academy","2017-18",78.000000000,6.000000000,0.077000000
"1777201","7772","19647330122374","Esteban Torres HS - East Los Angeles Renaissance Academy","2017-18",91.000000000,17.000000000,0.187000000
"1777301","7773","19647330122382","Esteban Torres HS - Engineer & Technology Academy","2017-18",98.000000000,13.000000000,0.133000000
"1775201","7752","19647330126474","Hilda L Solis Learning Academy","2017-18",65.000000000,7.000000000,0.108000000
"1886601","8866","19647330126516","Linda Esperanza Marquez Senior High HPIAM","2017-18",152.000000000,9.000000000,0.059000000
"1772501","7725","19647330126524","Linda Esperanza Marquez Senior High Libra Academy","2017-18",137.000000000,1.000000000,0.007000000
"1766901","7669","19647330126532","Linda Esperanza Marquez Senior High Social Justice","2017-18",141.000000000,8.000000000,0.057000000
"1892101","8921","19647330126540","Legacy Senior High Sci Tech Engineering Arts Math","2017-18",119.000000000,3.000000000,0.025000000
