"CostCenterCode","LocationCode","CDSCode","School","﻿SchoolYear","EnglishLearners","Reclassified","ReclassificationRate"
"1283601","2836","19647336016364","Carson Street Elementary","2017-2018","58","16","0.275862"
"1281501","2815","19647336016349","Caroldale Learning Community","2017-2018","109","13","0.119266"
"1268501","2685","19647336016224","Cabrillo Avenue Elementary","2017-2018","117","23","0.196581"
"1253001","2530","19647336016117","Broadacres Avenue Elementary","2017-2018","19","3","0.157895"
"1252701","2527","19647336016109","Broad Avenue Elementary","2017-2018","118","22","0.186441"
"1247301","2473","19647336016042","Bonita Street Elementary","2017-2018","82","18","0.219512"
"1231501","2315","19647336015952","Barton Hill Elementary","2017-2018","213","44","0.206573"
"1289001","2890","19647336016406","Catskill Avenue Elementary","2017-2018","190","38","0.2"
"1230101","2301","19647330111955","George de la Torre Jr Elementary","2017-2018","340","48","0.141176"
"1346601","3466","19647336016794","Dominguez Elementary","2017-2018","119","37","0.310924"
"1231301","2313","19647330126433","Dr Lawrence H Moore Math Science Technology Academy","2017-2018","372","76","0.204301"
"1298601","2986","19647336016430","Chapman Elementary","2017-2018","90","27","0.3"
"1401401","4014","19647336017180","Fries Avenue Elementary","2017-2018","254","44","0.173228"
"1320501","3205","19647336016612","Compton Avenue Elementary","2017-2018","174","33","0.189655"
"1330201","3302","19647336016661","Crestwood Street Elementary","2017-2018","18","4","0.222222"
"1338401","3384","19647336016737","Del Amo Elementary","2017-2018","56","7","0.125"
"1345201","3452","19647336016786","Dolores Street Elementary","2017-2018","56","12","0.214286"
"1364001","3640","19647336016950","Eshelman Avenue Elementary","2017-2018","96","27","0.28125"
"1376701","3767","19647336017032","15th Street Elementary","2017-2018","176","30","0.170455"
"1382201","3822","19647336017073","Figueroa Street Elementary","2017-2018","176","49","0.278409"
"1228801","2288","19647336015945","Bandini Street Elementary","2017-2018","82","23","0.280488"
"1881401","8814","19647331937226","Reseda Senior High","2017-2018","335","26","0.077612"
"1342501","3425","19647336016752","Denker Avenue Elementary","2017-2018","238","46","0.193277"
"1857101","8571","19647331931476","Canoga Park Senior High","2017-2018","338","33","0.097633"
"1402001","4020","19647330109231","Danny J Bakewell Sr Primary Center","2017-2018","108","3","0.027778"
"1857301","8573","19647331931500","Owensmouth Continuation High","2017-2018","14","4","0.285714"
"1858301","8583","19647331931708","Chatsworth Charter High School","2017-2018","210","35","0.166667"
"1858501","8585","19647331931559","Stoney Point Continuation High","2017-2018","20","3","0.15"
"1859001","8590","19647331931864","Grover Cleveland Charter High School","2017-2018","403","33","0.081886"
"1859101","8591","19647331930940","John R Wooden High School","2017-2018","14","1","0.071429"
"1872501","8725","19647331939941","John F Kennedy Senior High","2017-2018","174","20","0.114943"
"1872601","8726","19647331932334","Jane Addams Continuation High","2017-2018","9","*","*"
"1876801","8768","19647331935865","James Monroe Senior High","2017-2018","568","71","0.125"
"1884201","8842","19647331933233","Sherman Oaks Center for Enriched Studies (SOCES) Magnet","2017-2018","62","40","0.645161"
"1881601","8816","19647331931682","Zane Grey Continuation High","2017-2018","14","1","0.071429"
"1224701","2247","19647336015903","Avalon Gardens Elementary","2017-2018","51","2","0.039216"
"1888001","8880","19647331938612","William Howard Taft Charter High School","2017-2018","183","32","0.174863"
"1888301","8883","19647331932250","Henry David Thoreau Continuation High","2017-2018","10","*","*"
"1889801","8898","19647330124362","Valley Academy of Arts and Sciences","2017-2018","66","12","0.181818"
"1191701","1917","19647331930692","Thomas Riley High School - CYESIS","2017-2018","21","7","0.333333"
"1194101","1941","19647336060495","Benjamin Banneker Career and Transition Center","2017-2018","106","0","0"
"1195701","1957","19647336060503","Ernest P Willenberg Special Education Center","2017-2018","60","0","0"
"1208901","2089","19647336015754","Ambler Avenue Elementary","2017-2018","35","10","0.285714"
"1209601","2096","19647336015762","Amestoy Elementary","2017-2018","257","62","0.241245"
"1214601","2146","19647336015820","Annalee Avenue Elementary","2017-2018","10","*","*"
"1877001","8770","19647331931385","Albert Einstein Continuation High School","2017-2018","5","*","*"
"1643801","6438","19647336019004","Russell Elementary","2017-2018","500","101","0.202"
"1585701","5857","19647336018535","107th Street Elementary","2017-2018","410","53","0.129268"
"1586301","5863","19647336018543","116th Street Elementary","2017-2018","179","26","0.145251"
"1587701","5877","19647336018550","135th Street Elementary","2017-2018","362","78","0.21547"
"1588401","5884","19647336018568","112th Street Elementary","2017-2018","150","48","0.32"
"1588701","5887","19647336018576","122nd Street Elementary","2017-2018","275","65","0.236364"
"1601301","6013","19647336018675","Park Western Place Elementary","2017-2018","55","12","0.218182"
"1602101","6021","19647336018683","Parmelee Avenue Elementary","2017-2018","381","93","0.244094"
"1613701","6137","19647336018766","Point Fermin Elementary Marine Science Magnet","2017-2018","12","2","0.166667"
"1614801","6148","19647336018790","President Avenue Elementary","2017-2018","45","13","0.288889"
"1687201","6872","19647330122150","Wisdom Elementary","2017-2018","362","106","0.292818"
"1630101","6301","19647336018915","Ritter Elementary","2017-2018","177","39","0.220339"
"1582201","5822","19647336018501","153rd Street Elementary","2017-2018","141","18","0.12766"
"1661601","6616","19647336019129","7th Street Elementary","2017-2018","21","2","0.095238"
"1663001","6630","19647336019137","75th Street Elementary","2017-2018","496","105","0.211694"
"1665801","6658","19647336018105","McKinley Avenue Elementary","2017-2018","309","63","0.203883"
"1679501","6795","19647336019244","68th Street Elementary","2017-2018","417","69","0.165468"
"1682201","6822","19647336019269","66th Street Elementary","2017-2018","449","112","0.249443"
"1686301","6863","19647336019293","South Park Elementary","2017-2018","459","97","0.211329"
"1686701","6867","19647330126581","Harry Bridges Span School","2017-2018","316","84","0.265823"
"1686901","6869","19647330122143","Dr Owen Lloyd Knox Elementary School","2017-2018","281","63","0.224199"
"1687001","6870","19647336019301","South Shores Elementary Performing Arts Magnet","2017-2018","12","6","0.5"
"1688601","6886","19647330122176","Judith F Baca Arts Academy","2017-2018","315","53","0.168254"
"1615801","6158","19647336018808","Purche Avenue Elementary","2017-2018","68","7","0.102941"
"1553401","5534","19647336018345","99th Street Elementary","2017-2018","228","57","0.25"
"1421901","4219","19647336017321","Graham Elementary","2017-2018","354","49","0.138418"
"1427401","4274","19647336017362","Grape Street Elementary","2017-2018","253","26","0.102767"
"1431501","4315","19647336017404","Gulf Avenue Elementary","2017-2018","363","102","0.280992"
"1434201","4342","19647336017420","Halldale Elementary","2017-2018","138","19","0.137681"
"1442501","4425","19647336017461","Harbor City Elementary","2017-2018","277","56","0.202166"
"1446601","4466","19647336017511","Hawaiian Avenue Elementary","2017-2018","284","50","0.176056"
"1482901","4829","19647336017826","Leapwood Elementary","2017-2018","16","1","0.0625"
"1483601","4836","19647336017834","Leland Street Elementary","2017-2018","87","9","0.103448"
"1493201","4932","19647336017933","Lomita Elementary Math/Science/Technology Magnet","2017-2018","115","46","0.4"
"1509601","5096","19647336018022","Manchester Avenue Elementary","2017-2018","377","110","0.291777"
"1584901","5849","19647336018527","Florence Griffith Joyner Elementary","2017-2018","203","24","0.118227"
"1532901","5329","19647336018188","Miramonte Elementary","2017-2018","346","77","0.222543"
"1583601","5836","19647336018519","109th Street Elementary","2017-2018","219","20","0.091324"
"1554801","5548","19647336018352","92nd Street Elementary","2017-2018","415","68","0.163855"
"1556201","5562","19647336018360","Charles W Barrett Elementary","2017-2018","318","52","0.163522"
"1557501","5575","19647336018378","96th Street Elementary","2017-2018","283","74","0.261484"
"1558201","5582","19647336018386","93rd Street Elementary","2017-2018","449","95","0.211581"
"1564401","5644","19647336018428","Normont Elementary","2017-2018","131","32","0.244275"
"1574001","5740","19647336018469","118th Street Elementary","2017-2018","205","32","0.156098"
"1575301","5753","19647336018477","186th Street Elementary","2017-2018","235","54","0.229787"
"1578101","5781","19647336018485","Lovelia P Flournoy Elementary","2017-2018","237","30","0.126582"
"1580801","5808","19647336018493","156th Street Elementary","2017-2018","50","5","0.1"
"1404101","4041","19647336017214","Gardena Elementary","2017-2018","282","55","0.195035"
"1532101","5321","19647336066278","Loren Miller Elementary","2017-2018","373","92","0.246649"
"1469201","4692","19647336017693","Justice Street Academy Charter","2017-2018","8","*","*"
"1519801","5198","19647336018089","Mayall Street Academy of Arts/Technology Magnet","2017-2018","68","13","0.191176"
"1402701","4027","19647336017198","Fullbright Avenue Elementary","2017-2018","219","30","0.136986"
"1405501","4055","19647336017206","Garden Grove Elementary","2017-2018","155","28","0.180645"
"1411001","4110","19647336017255","Gault Street Elementary","2017-2018","164","26","0.158537"
"1411701","4117","19647336017263","Germain Academy for Academic Achievement","2017-2018","56","17","0.303571"
"1413001","4130","19647336017289","Gledhill Street Elementary","2017-2018","127","35","0.275591"
"1423301","4233","19647336017339","Granada Community Charter","2017-2018","82","19","0.231707"
"1434901","4349","19647336017438","Hamlin Charter Academy","2017-2018","111","27","0.243243"
"1444501","4445","19647336017495","Hart Street Elementary","2017-2018","487","103","0.211499"
"1445201","4452","19647336017503","Haskell Elementary STEAM Magnet","2017-2018","97","19","0.195876"
"1361001","3610","19647330117036","Enadia Way Technology Charter","2017-2018","29","9","0.310345"
"1452101","4521","19647330112060","Hesby Oaks Leadership Charter","2017-2018","20","10","0.5"
"1358901","3589","19647336016901","Emelita Academy Charter","2017-2018","97","22","0.226804"
"1476201","4762","19647336017743","Knollwood Preparatory Academy","2017-2018","54","11","0.203704"
"1476401","4764","19647336017768","Lanai Road Elementary","2017-2018","24","12","0.5"
"1477501","4775","19647336017776","Langdon Avenue Elementary","2017-2018","349","53","0.151862"
"1477601","4776","19647336116842","Primary Academy for Success School","2017-2018","214","25","0.116822"
"1479001","4790","19647336017792","Lassen Elementary","2017-2018","203","43","0.211823"
"1484901","4849","19647336017842","Lemay Street Elementary","2017-2018","87","24","0.275862"
"1487001","4870","19647336017867","Liggett Street Elementary","2017-2018","365","95","0.260274"
"1488101","4881","19647336017883","Limerick Avenue Elementary","2017-2018","293","70","0.238908"
"1488701","4887","19647336017891","Lockhurst Drive Charter Elementary","2017-2018","63","12","0.190476"
"1230301","2303","19647330126607","Porter Ranch Community School","2017-2018","60","13","0.216667"
"1447301","4473","19647336017529","Haynes Charter for Enriched Studies","2017-2018","19","9","0.473684"
"1276701","2767","19647336016307","Cantara Street Elementary","2017-2018","215","50","0.232558"
"1225001","2250","19647330125096","Academy for Enriched Sciences Elementary Magnet","2017-2018","35","7","0.2"
"1480801","4808","19647336017818","Laurel Elementary","2017-2018","75","20","0.266667"
"1226901","2269","19647336100069","Balboa Elementary Gifted/Highly Gifted/High Ability Magnet","2017-2018","6","*","*"
"1703501","7035","19647336019426","Taper Avenue Elementary","2017-2018","29","13","0.448276"
"1232301","2323","19647336015960","Bassett Street Elementary","2017-2018","382","98","0.256545"
"1233501","2335","19647336015986","Beckford Charter for Enriched Studies","2017-2018","21","8","0.380952"
"1243801","2438","19647336016026","Bertrand Avenue Elementary","2017-2018","158","30","0.189873"
"1247001","2470","19647336016034","Blythe Street Elementary","2017-2018","241","66","0.273859"
"1270401","2704","19647336016240","Calabash Charter Academy","2017-2018","14","5","0.357143"
